symbol,kind,yf_ticker,last_date,rows,action,updated_at
AURIONPRO,equity,AURIONPRO.NS,2026-07-29,1241,+2 rows,2026-07-29 14:32:51.447088
AXISCADES,equity,AXISCADES.NS,2026-07-29,1241,+2 rows,2026-07-29 14:32:52.722720
AZAD,equity,AZAD.NS,2026-07-29,641,+2 rows,2026-07-29 14:32:53.949884
BBOX,equity,BBOX.NS,2026-07-29,1241,+2 rows,2026-07-29 14:32:55.212447
BLACKBUCK,equity,BLACKBUCK.NS,2026-07-29,419,+2 rows,2026-07-29 14:32:56.419798
BLUESTARCO,equity,BLUESTARCO.NS,2026-07-29,1241,+2 rows,2026-07-29 14:32:57.726905
BORORENEW,equity,BORORENEW.NS,2026-07-29,1241,+2 rows,2026-07-29 14:32:58.923112
BSE,equity,BSE.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:00.193305
CARTRADE,equity,CARTRADE.NS,2026-07-29,1224,+2 rows,2026-07-29 14:33:01.388804
CEINSYS,equity,CEINSYS.NS,2026-07-29,110,+2 rows,2026-07-29 14:33:02.570523
CENTUM,equity,CENTUM.NS,2026-07-29,1239,+2 rows,2026-07-29 14:33:03.815167
CGPOWER,equity,CGPOWER.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:05.136716
COFORGE,equity,COFORGE.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:06.402466
DATAPATTNS,equity,DATAPATTNS.NS,2026-07-29,1138,+2 rows,2026-07-29 14:33:07.654043
DIXON,equity,DIXON.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:08.889052
ELECON,equity,ELECON.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:10.192259
EMMVEE,equity,EMMVEE.NS,2026-07-29,175,+2 rows,2026-07-29 14:33:11.428240
ETERNAL,equity,ETERNAL.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:12.624650
FRONTSP,equity,FRONTSP.NS,2026-07-29,70,+2 rows,2026-07-29 14:33:13.851271
NYKAA,equity,NYKAA.NS,2026-07-29,1169,+2 rows,2026-07-29 14:33:15.031718
GRSE,equity,GRSE.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:16.258518
GVT&D,equity,GVT&D.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:17.538251
HBLENGINE,equity,HBLENGINE.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:18.815762
